FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
22	29	103.35053252671017	0.9257860237751361
22	35	869.0383330195954	0.9905566048216865
22	44	0.4636206135553845	0.052994111765359404
22	49	4.657206484076403	0.359848905677147
22	50	3.2320745747549737	0.2806354849461171
22	53	0.3732201454188834	0.04310632151983113
22	56	98.3996044567187	0.9223419620042218
22	72	3.096725396076027	0.27208087990223306
22	North	1.1082723905953638	0.11798689034551717
29	35	2.7546866096358267	0.24952783024108433
29	44	0.5142020889734011	0.05843795133874014
29	49	0.5622219205008682	0.0635484946117098
29	50	0.5601232057566515	0.06332629707810243
29	53	1.303938529317628	0.1359848905677147
29	56	10.196496524380395	0.551716475947117
29	72	1.1047242229520726	0.1176535940451061
29	North	0.945499083700009	0.10243306299300078
35	44	1121.601084822061	0.9926674813909565
35	49	4.559126372298223	0.3549605599377847
35	50	4.7113387248619905	0.3625152760804355
35	53	163.14606845368945	0.9516720364403956
35	56	3.974250801309595	0.32418620153316297
35	72	1.6913408411764568	0.16953671814242863
35	North	0.3943817765655814	0.04543939562270859
44	49	1.643524966686089	0.16553716253749584
44	50	1.1594257399363734	0.12276413731807577
44	53	1.0988165632649602	0.11709810021108766
44	56	1.5791739987666318	0.1600933229641151
44	72	1.0401462703613125	0.11154316187090323
44	North	1.0180434671267804	0.10943228530163315
49	50	5.117763471931998	0.3818464615042773
49	53	7.612015020451615	0.47883568492389733
49	56	0.7399568730247362	0.08199088990112209
49	72	0.7388648029670439	0.08187979113431841
49	North	1.0964555803370424	0.11687590267748028
50	53	1.1750005675030168	0.12420842128652372
50	56	1.1726010974583125	0.12398622375291635
50	72	1.3547584353589341	0.14053994000666592
50	North	1.199062403065137	0.1264303966225975
53	56	1.4631259507370897	0.15009443395178312
53	72	2.268794369097861	0.2149761137651372
53	North	1.3027057125764265	0.135873791800911
56	72	2.0194253679321803	0.19597822464170647
56	North	1.5479585428093183	0.1574269525608266
72	North	39.183247563476236	0.8254638373514054
29	22	0.8438052625383	0.09243417398066882
35	22	29.188695777453393	0.7789134540606599
44	22	1.4516711492864651	0.14909454505054995
49	22	0.9056834168451217	0.09854460615487168
50	22	1.6474921090876997	0.1658704588379069
53	22	1.4899589244851712	0.1524275080546606
56	22	3.321700914509832	0.2861904232863015
72	22	67.80945283848378	0.8911232085323852
North	22	1.630324015947583	0.16442617486945896
35	29	4.22095536381278	0.3375180535496056
44	29	0.9799023977791906	0.10576602599711143
49	29	0.7728423350316687	0.08532385290523276
50	29	1.2621998463264474	0.13220753249638928
53	29	1.3584981231330593	0.140873236307077
56	29	3.354308843020614	0.2881902010887679
72	29	2.0137331511379934	0.19553382957449172
North	29	9.930154807262815	0.5451616487056994
44	35	1.0905583175358848	0.11632040884346184
49	35	0.8493960975127505	0.09298966781468726
50	35	1.3584981231330593	0.140873236307077
53	35	1.2439010156401376	0.13054105099433397
56	35	2.7042552071167005	0.24608376847017
72	35	1.2451187550777585	0.13065214976113765
North	35	1.1343744512793952	0.12043106321519831
49	44	6.668463821165064	0.44595044995000555
50	44	1.2353855454887661	0.12976335962670815
53	44	0.9215683932658937	0.10009998889012332
56	44	0.9090827240207804	0.09887790245528275
72	44	0.49969065412618124	0.056882568603488504
North	44	0.8853402438236494	0.09654482835240528
50	49	2.6414599768832088	0.24175091656482614
53	49	4.354492571134154	0.344517275858238
56	49	1.2353855454887661	0.12976335962670815
72	49	343.4720505944807	0.9764470614376181
North	49	0.9238421592518187	0.1003221864237307
53	50	1.050652718431787	0.11254305077213643
56	50	1.1906268493919896	0.12565270525497166
72	50	0.4976214983758878	0.05666037106988112
North	50	0.9420727996734891	0.10209976669258972
56	53	0.9500714226064829	0.10287745806021553
72	53	23.286840832336722	0.7375847128096878
North	53	1.1678058072155932	0.12354182868570159
72	56	0.6802829510937066	0.07588045772691923
North	56	1.0682161753529766	0.11420953227419176
North	72	1.1403269819511748	0.12098655704921675
