# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Oct 09 15:54:19 BST 2024 [seed=1728485658784]
# -threads 4 H1avN2_HA_srd06_ur_cs_50m.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-13676.252510450082	-1840.0998740316388	-11836.152636418443	3.4606310019635007	2019.5338134424765	27.197169919064752	1.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	0.5	0.5	0.75	1.5	1.0	0.3333333333333333	0.9504625341191318	0.3005451770327992	-0.1467592619181909	-11836.152636418443	-1657.6121102623383	-153.91573141886678
20000	-9152.232243361219	-1901.9233499240686	-7250.308893437151	3.394053517028794	2019.6003909274111	34.370063491234305	1.764480411145258	11.03840529446926	9.209565341969936	0.36798309104454313	0.17679926598767548	0.20717273153093382	0.24804491143684748	0.14792740611540445	0.09037788177831009	0.6452777441899025	0.354722255810098	0.9679166162848537	1.064166767430294	0.023958605070262488	0.04390081673439224	0.014490904925656656	1.4604810136171529	-0.002093844793737355	-7250.308893437151	-1657.6121102623383	-241.63951710223344
40000	-8750.259797085735	-1934.048679133081	-6816.211117952655	3.529666499960033	2019.46477794448	38.92869976011044	2.5362155522413907	11.300835077797835	12.606608488483479	0.3588053553823387	0.17120434953386376	0.21288661941379486	0.25710367567000253	0.26424228040727343	0.12892348274739354	0.7267022034722485	0.27329779652775277	1.0900533052083727	0.8198933895832583	0.015593332456206742	0.020966895953833435	0.010996341009993712	1.136692665189118	0.18557175717291466	-6816.211117952655	-1657.6121102623383	-273.01908195815713
60000	-8591.842990336001	-1975.2581510793477	-6616.584839256654	3.698727529394353	2019.2957169150457	44.077995074427186	3.0461750031657218	11.71594898041636	8.8880335453481	0.36737476353629195	0.18432546255842075	0.18857805390651525	0.2597217199987719	0.19483384665677517	0.062454303359822466	0.6780414549513775	0.32195854504862526	1.0170621824270663	0.9658756351458757	0.009953348698511593	0.01229862957685058	0.008169427500465747	1.0732925903667272	0.022240980103480374	-6616.584839256654	-1657.6121102623383	-315.38221192952057
80000	-8446.126097714707	-1991.259838015518	-6454.866259699189	3.6733672484442574	2019.3210771959957	47.49458722156969	3.8077223362591943	10.04581880769829	8.631789754561998	0.35948865376099526	0.17459626194726183	0.21265762542229918	0.25325745886944356	0.26081759879876865	0.12307026745451245	0.7226000714871834	0.27739992851281836	1.0839001072307752	0.8321997855384551	0.009165446631680558	0.01428635896729534	0.00674503259917569	1.1538112937775076	-0.03354063509090202	-6454.866259699189	-1657.6121102623383	-331.32475378406906
100000	-8390.823227564451	-1999.2015547133828	-6391.621672851069	3.745734206613234	2019.2487102378268	49.62828414275674	3.1065133467030326	9.669621072578051	13.086608670348872	0.3517464122981475	0.1800795641475074	0.21248531511393753	0.2556887084404075	0.29292530615191475	0.17258216869542795	0.7598411277755429	0.2401588722244587	1.1397616916633144	0.720476616673376	0.008556197627173594	0.011757510843727862	0.00677911896963383	1.1442135936512117	0.11707713681934162	-6391.621672851069	-1657.6121102623383	-338.67174255136115
120000	-8359.980059353446	-1998.4056694412875	-6361.574389912159	4.080533628436982	2018.913910816003	49.74094806632197	4.3295211248580765	10.225453105979515	10.309553408347872	0.37920724219156016	0.182062413339352	0.20687871179717535	0.2318516326719124	0.24381886339697967	0.12228860023008957	0.7555607539949301	0.24443924600507144	1.133341130992395	0.7333177380152143	0.009018661917070845	0.011078357955346629	0.006998236763143165	1.033079578670809	0.03150836065143424	-6361.574389912159	-1657.6121102623383	-338.05352206132324
140000	-8315.548321020737	-2024.9739590240663	-6290.574361996671	3.5889054022358295	2019.405539042204	54.20814627076563	4.718044045309677	8.787825624773543	8.4227227980578	0.37369013786273264	0.18060676293263173	0.20032734003427324	0.24537575917036195	0.25765551460675085	0.014655956378884439	0.784810302782092	0.21518969721790904	1.1772154541731379	0.6455690916537271	0.00731620444456138	0.006976615532851269	0.005771879241446255	0.7738504470251344	0.07633455435102192	-6290.574361996671	-1657.6121102623383	-365.5695315198621
160000	-8257.392345904573	-2063.248662529875	-6194.1436833746975	4.680899826712208	2018.3135446177278	63.48935164923603	6.495135115103885	8.902656139551778	9.344030379934152	0.3600127199178642	0.17888443630010264	0.2098238444590562	0.25127899932297676	0.3222599422619693	0.019551914489598244	0.7540925702212978	0.24590742977870225	1.1311388553319468	0.7377222893361067	0.005743596675227335	0.0055407287523786715	0.004916240855083954	0.775355570887927	0.06019438767101698	-6194.1436833746975	-1657.6121102623383	-403.41667541611696
180000	-8218.305400726287	-2055.355658432663	-6162.949742293625	4.1265299629520324	2018.867914481488	59.26903274146389	5.34990771765887	11.411019877167362	11.049320469690175	0.3573560268907398	0.1865085547718584	0.20648939822713405	0.24964602011026737	0.2543047246620053	0.16396510993288557	0.7790872619776089	0.22091273802239156	1.1686308929664133	0.6627382140671747	0.005900885028721462	0.006558617144009053	0.004559853464643028	0.9627647282782222	0.17213872744955203	-6162.949742293625	-1657.6121102623383	-394.76318180064754
