# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Oct 09 15:51:42 BST 2024 [seed=1728485501363]
# -threads 4 H1avN2_HA_srd06_sc_cs_50m.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
200000	-6443.50097478702	-487.0021464447649	-5956.498828342255	4.0617297220323	2018.9327147224076	79.28797896230544	10.32440067992369	9.302336735398839	11.779586191445388	0.35902527163875686	0.19485296512140135	0.20397444386046248	0.24214731937937886	0.6438210544163641	0.1705838102174786	0.7795291878499422	0.22047081215005856	1.1692937817749134	0.6614124364501757	0.0035464412305001077	0.0035464412305001103	-5956.498828342255	0.0	-482.2175636837904
220000	-6438.288952230582	-478.4731889414461	-5959.815763289136	4.4976359875620595	2018.496808456878	79.1292097459124	8.62572851626697	12.38785128764915	8.887050994141065	0.3539534831953149	0.19384388179602868	0.196125744325692	0.2560768906829638	0.6942097757651341	0.21950794767078918	0.7915631471588119	0.2084368528411884	1.187344720738218	0.6253105585235652	0.003448802960347659	0.003448802960347655	-5959.815763289136	0.0	-473.67353915126506
240000	-6465.048879286055	-504.7597832362497	-5960.289096049805	4.093910141212228	2018.9005343032277	85.26662137528676	11.930115358806685	10.340631094412368	8.286489079340509	0.39353483806591916	0.18112330760866316	0.19817157172630934	0.2271702825991079	0.5162456507349149	0.18161179067140515	0.7175471760154414	0.2824528239845599	1.076320764023162	0.8473584719536797	0.003245930129391159	0.00324593012939116	-5960.289096049805	0.0	-500.59831728889725
260000	-6468.954447688431	-498.4220441635357	-5970.532403524895	3.7717510800486074	2019.2226933643913	82.96344856937692	11.798925398380476	11.17409713996836	8.495857800944698	0.3661870826697748	0.19692761008497936	0.20722725552877178	0.2296580517164738	0.7083254604899001	0.37460937886671125	0.7722595271017523	0.22774047289824928	1.1583892906526283	0.6832214186947478	0.003390111100463607	0.0033901111004636096	-5970.532403524895	0.0	-493.2728967375211
280000	-6446.894248536006	-483.00116502072495	-5963.8930835152805	3.817451762678872	2019.176992681761	79.2570934329764	11.151695062389633	9.550776518708014	7.803736477921702	0.35604961339932373	0.1813702829917732	0.20989796858119633	0.2526821350277063	0.6620025970118572	0.07111464092482475	0.7875884926870911	0.21241150731291003	1.1813827390306366	0.6372345219387301	0.003388802209786126	0.003388802209786128	-5963.8930835152805	0.0	-479.0338280897323
300000	-6436.998203127469	-474.39009609031086	-5962.608107037158	3.828138891555658	2019.1663055528843	74.80401179335364	8.105480771689896	11.757715128905012	13.732619092237023	0.3425533797946741	0.1882468428033785	0.222327241150716	0.24687253625123087	0.3810239907919785	0.3487112177778744	0.7559438241126302	0.24405617588737075	1.1339157361689454	0.7321685276621123	0.003721510150237859	0.003721510150237864	-5962.608107037158	0.0	-469.22528510447677
320000	-6425.137522496135	-472.426620028602	-5952.710902467533	3.8741927317178058	2019.1202517127222	76.24173438825771	10.015931015533912	10.576380084703565	9.850731218344608	0.35678446418835613	0.1688594947350283	0.22606045800243565	0.24829558307417954	0.7302403041758767	0.17900009131639577	0.7801095199024517	0.21989048009754825	1.1701642798536775	0.6596714402926447	0.0036911550585037815	0.0036911550585037867	-5952.710902467533	0.0	-467.5445985785602
340000	-6426.117722531587	-478.518914039218	-5947.598808492369	4.098304396900771	2018.8961400475391	79.32664759271765	8.836813566047953	11.894338427981234	10.201577546388684	0.36840101290170035	0.1905992103829162	0.20103876736828966	0.23996100934709352	0.7281175409040392	0.09305582985615696	0.7388953919626491	0.26110460803735075	1.1083430879439735	0.7833138241120523	0.003090339564620171	0.0030903395646201723	-5947.598808492369	0.0	-473.7950174472158
360000	-6432.821942049472	-467.7700983105911	-5965.051843738881	4.15052593621709	2018.843918508223	76.51048657826225	7.758071956276475	8.904771672571478	14.545292505937946	0.38055048598633956	0.17646792709966366	0.21005851574727852	0.23292307116671795	0.508586733726024	0.19894841496642984	0.802539787833611	0.1974602121663884	1.2038096817504165	0.5923806364991652	0.003472976711754695	0.0034729767117546934	-5965.051843738881	0.0	-463.1475416854795
380000	-6428.93386347283	-472.34436946868993	-5956.58949400414	4.287268204261791	2018.7071762401781	78.98497547421422	8.532492832952295	9.880075154918053	13.295818999842087	0.38042203587447965	0.17997560433249982	0.19363022360144674	0.24597213619157357	0.3452109085700273	0.18958646195576914	0.7664786092455457	0.23352139075445386	1.1497179138683185	0.7005641722633615	0.003100690039231537	0.003100690039231538	-5956.58949400414	0.0	-468.0628940228173
