name, date, county
A/sw/France/29-220615-2/2022_N_29_2022.727778, 2022.727778, 29
A/sw/France/29-200185/2020_NE_29_2020.44722222222, 2020.44722222222, 29
A/sw/France/29-220685-3/2022_E_29_2022.916667, 2022.916667, 29
A/sw/France/29-200263/2020_NE_29_2020.425, 2020.425, 29
A/sw/France/29-220173-1/2022_N_29_2022.04722222222, 2022.04722222222, 29
A/sw/France/29-210041-1/2020_NE_29_2020.5, 2020.5, 29
A/sw/France/29-200507-2/2020_NE_29_2020.56666666667, 2020.56666666667, 29
A/sw/France/29-200188/2020_NE_29_2020.45833333333, 2020.45833333333, 29
A/sw/France/35-200052/2020_E_35_2020.13333333333, 2020.13333333333, 35
A/sw/France/35-210062-6/2021_PSE_35_2021.02777777778, 2021.02777777778, 35
A/sw/France/35-210129-2/2021_E_35_2021.03055555556, 2021.03055555556, 35
A/sw/France/35-200425-2/2020_NE_35_2020.46944444444, 2020.46944444444, 35
A/sw/France/35-220448-3/2022_NE_35_2022.48888888889, 2022.48888888889, 35
A/sw/France/35-200270/2020_NE_35_2020.56111111111, 2020.56111111111, 35
A/sw/France/35-210089-3/2021_NE_35_2021.04722222222, 2021.04722222222, 35
A/sw/France/35-210165-4/2021_PSE_35_2021.14166666667, 2021.14166666667, 35
A/sw/France/35-200275/2020_NE_35_2020.55555555556, 2020.55555555556, 35
A/sw/France/35-200508-2/2020_NE_35_2020.55, 2020.55, 35
A/sw/France/35-200470-2/2020_NE_35_2020.53888888889, 2020.53888888889, 35
A/sw/France/35-200238/2020_NE_35_2020.54722222222, 2020.54722222222, 35
A/sw/France/35-210140-1/2021_NE_35_2021.12222222222, 2021.12222222222, 35
A/sw/France/35-210519-2/2021_NE_35_2021.66666666667, 2021.66666666667, 35
A/sw/France/35-200332/2020_NE_35_2020.55, 2020.55, 35
A/sw/France/35-200298/2020_PSE_35_2020.55555555556, 2020.55555555556, 35
A/sw/France/35-200206/2020_NE_35_2020.43888888889, 2020.43888888889, 35
A/sw/France/35-200437-1/2020_NE_35_2020.55555555556, 2020.55555555556, 35
A/sw/France/35-200271/2020_NE_35_2020.55833333333, 2020.55833333333, 35
A/sw/France/35-200251/2020_NE_35_2020.57777777778, 2020.57777777778, 35
A/sw/France/35-200438-2/2020_NE_35_2020.49444444444, 2020.49444444444, 35
A/sw/France/35-210370-1/2021_NE_35_2021.38611111111, 2021.38611111111, 35
A/sw/France/35-210501-6/2021_NE_35_2021.75833333333, 2021.75833333333, 35
A/sw/France/35-200299/2020_NE_35_2020.56388888889, 2020.56388888889, 35
A/sw/France/35-200295/2020_NE_35_2020.575, 2020.575, 35
A/sw/France/35-200469-2/2020_NE_35_2020.525, 2020.525, 35
A/sw/France/35-200154/2020_NE_35_2020.421, 2020.421, 35
A/sw/France/35-200300/2020_NE_35_2020.56944444444, 2020.56944444444, 35
A/sw/France/37-220188-1/2022_NE_37_2022.2, 2022.2, 37
A/sw/France/44-220189-1/2022_E_44_2022.22222222222, 2022.22222222222, 44
A/sw/France/44-200512-1/2020_NE_44_2020.55555555556, 2020.55555555556, 44
A/sw/France/44-200510-2/2020_N_44_2020.55833333333, 2020.55833333333, 44
A/sw/France/44-200384-2/2020_NE_44_2020.54166666667, 2020.54166666667, 44
A/sw/France/44-200460-3/2020_NE_44_2020.525, 2020.525, 44
A/sw/France/49-200353-3/2020_NE_49_2020.51944444444, 2020.51944444444, 49
A/sw/France/49-200216/2020_E_49_2020.53333333333, 2020.53333333333, 49
A/sw/France/49-230070-3/2022_NE_49_2022.99444444444, 2022.99444444444, 49
A/sw/France/49-220101-1/2022_NE_49_2022.14444444444, 2022.14444444444, 49
A/sw/France/49-200490-3/2020_NPS_49_2020.53055555556, 2020.53055555556, 49
A/sw/France/50-210307-1/2021_NE_50_2021.19444444444, 2021.19444444444, 50
A/sw/France/50-200471-3/2020_NE_50_2020.49722222222, 2020.49722222222, 50
A/sw/France/50-210417-5/2021_NE_50_2021.53333333333, 2021.53333333333, 50
A/sw/France/53-200155/2020_NE_53_2020.40277777778, 2020.40277777778, 53
A/sw/France/53-210091-2/2021_N_53_2021.05555555556, 2021.05555555556, 53
A/sw/France/53-200134-3/2020_NE_53_2020.38055555556, 2020.38055555556, 53
A/sw/France/53-230071-5/2022_NE_53_2022.89166666667, 2022.89166666667, 53
A/sw/France/53-210090-4/2021_NE_53_2021.05277777778, 2021.05277777778, 53
A/sw/France/56-200347/2020_N_56_2020.56944444444, 2020.56944444444, 56
A/sw/France/56-200257/2020_E_56_2020.58333333333, 2020.58333333333, 56
A/sw/France/56-200256/2020_E_56_2020.58611111111, 2020.58611111111, 56
A/sw/France/56-200231/2020_N_56_2020.475, 2020.475, 56
A/sw/France/56-200259/2020_NPS_56_2020.58611111111, 2020.58611111111, 56
A/sw/France/56-220651-2/2022_E_56_2022.85, 2022.85, 56
A/sw/France/56-220533-3/2022_NE_56_2022.66388888889, 2022.66388888889, 56
A/sw/France/56-200201/2020_NE_56_2020.31111111111, 2020.31111111111, 56
A/sw/France/56-200112/2020_N_56_2020.34444444444, 2020.34444444444, 56
A/sw/France/56-200441-3/2020_N_56_2020.55277777778, 2020.55277777778, 56
A/sw/France/56-200050/2020_NE_56_2020.11666666667, 2020.11666666667, 56
A/sw/France/72-200462-2/2020_NE_72_2020.5, 2020.5, 72
