strain	compartment	compartment_number	date
A/sw/France/35-200332/2020	NE	35	2020.55
A/sw/France/35-200298/2020	PSE	35	2020.55555555556
A/sw/France/35-200206/2020	NE	35	2020.43888888889
A/sw/France/35-200437-1/2020	NE	35	2020.55555555556
A/sw/France/35-200271/2020	NE	35	2020.55833333333
A/sw/France/35-200251/2020	NE	35	2020.57777777778
A/sw/France/35-200438-2/2020	NE	35	2020.49444444444
A/sw/France/35-210370-1/2021	NE	35	2021.38611111111
A/sw/France/35-210501-6/2021	NE	35	2021.75833333333
A/sw/France/35-200299/2020	NE	35	2020.56388888889
A/sw/France/35-200295/2020	NE	35	2020.575
A/sw/France/35-200469-2/2020	NE	35	2020.525
A/sw/France/35-200154/2020	NE	35	2020.421
A/sw/France/35-200300/2020	NE	35	2020.56944444444
A/sw/France/37-220188-1/2022	NE	37	2022.2
A/sw/France/44-220189-1/2022	E	44	2022.22222222222
A/sw/France/44-200512-1/2020	NE	44	2020.55555555556
A/sw/France/44-200510-2/2020	N	44	2020.55833333333
A/sw/France/44-200384-2/2020	NE	44	2020.54166666667
A/sw/France/44-200460-3/2020	NE	44	2020.525
A/sw/France/49-200353-3/2020	NE	49	2020.51944444444
A/sw/France/49-200216/2020	E	49	2020.53333333333
A/sw/France/49-230070-3/2022	NE	49	2022.99444444444
A/sw/France/49-220101-1/2022	NE	49	2022.14444444444
A/sw/France/49-200490-3/2020	NPS	49	2020.53055555556
A/sw/France/50-210307-1/2021	NE	50	2021.19444444444
A/sw/France/50-200471-3/2020	NE	50	2020.49722222222
A/sw/France/50-210417-5/2021	NE	50	2021.53333333333
A/sw/France/53-200155/2020	NE	53	2020.40277777778
A/sw/France/53-210091-2/2021	N	53	2021.05555555556
A/sw/France/53-200134-3/2020	NE	53	2020.38055555556
A/sw/France/53-230071-5/2022	NE	53	2022.89166666667
A/sw/France/53-210090-4/2021	NE	53	2021.05277777778
A/sw/France/56-200347/2020	N	56	2020.56944444444
A/sw/France/56-200257/2020	E	56	2020.58333333333
A/sw/France/56-200256/2020	E	56	2020.58611111111
A/sw/France/56-200231/2020	N	56	2020.475
A/sw/France/56-200259/2020	NPS	56	2020.58611111111
A/sw/France/56-220651-2/2022	E	56	2022.85
A/sw/France/56-220533-3/2022	NE	56	2022.66388888889
A/sw/France/56-200201/2020	NE	56	2020.31111111111
A/sw/France/56-200112/2020	N	56	2020.34444444444
